target_va,name,source
0x1405dde00,BGSEditorID::Register,byte-sig:exact32
0x1405e3060,RE::ArrowProjectile::Unk_D2,byte-sig:masked48
0x1405e7080,RE::BGSLevGenericBaseForm::Unk_09,byte-sig:exact32
0x1405eec40,stl::unique_function_impl::detail::TypeErasedFuncImpl::lambda_d171162562a65c2174a62885db0a1980::float_::Func3,bsim:sim=0.5319
0x1405f2f40,stl::local_function_detail::LocalFunctionImpl::lambda_ebf1416eda600511e6106bebb9c05ef8::void_BSTArray_TESModel::LayeredMaterialPermutation_BSTArrayHeapAllocator_const_bool_::Func2,byte-sig:exact32
0x1405f2f90,stl::local_function_detail::LocalFunctionImpl::lambda_e262d206b64f189f4de607154638d419::void_BSTArray_BSDependencyManagedFormPointer_BGSLayeredMaterialSwap_BSDependencyManagedFormRawPointerPolicy::BSTArrayHeapAllocator::::Func2,byte-sig:exact32
0x1405f2fd0,stl::local_function_detail::LocalFunctionImpl::lambda_1ad4dd0aefb1c1c866ec34d7465dcc5d::void_BSTArray_BSDependencyManagedFormPointer_BGSLayeredMaterialSwap_BSDependencyManagedFormRawPointerPolicy::BSTArrayHeapAllocator::::Func2,byte-sig:masked48
0x1405f8530,stl::local_function_detail::LocalFunctionImpl_std::reference_wrapper::lambda_10aed968af223d327644d6045b47deba::_BSVisit::BSVisitControl_NiAVObject_::Func2,byte-sig:exact32
0x1405f8560,stl::local_function_detail::LocalFunctionImpl_std::reference_wrapper::lambda_e398c776cf0e02d6eb33d00fb747d510::_BSVisit::BSVisitControl_NiAVObject_::Func2,byte-sig:exact32
0x1405fe6a0,stl::local_function_detail::LocalFunctionImpl_std::reference_wrapper::lambda_2f4abc6f9ff72b2e880e48e6d5ca4bcb::_BSVisit::BSVisitControl_NiAVObject_::Func2,byte-sig:exact32
0x1405ff4b0,BSTArrayAllocatorFunctor_BSTSmallArrayHeapAllocator_256::::Func2,byte-sig:exact32
0x1405ff520,BSTArrayAllocatorFunctor_BSTSmallArrayHeapAllocator_384::::Func2,byte-sig:exact32
0x1405ffcd0,BGSActorValueActivity::Func8_v2,byte-sig:exact32
0x140617bd0,stl::local_function_detail::LocalFunctionImpl::lambda_02c98e6932b5711bd897d3fafb2aaecb::BSVisit::BSVisitControl_NiAVObject_::Func2,byte-sig:exact32
