target_va,name,source_exe,similarity,overlap
0x140f1f680,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4382,73
0x140f31cd0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4683,73
0x140f33cb0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4370,73
0x140f340a0,BGSSpatialGridSearchBase_BGSSpatialGridSearchUtilitiesInternal::GridSearchPolicyWrapperDirect::_SearchPolicyStandard::::Func3,Starfield.exe,0.4127,81
0x140f34830,BGSSpatialGridSearchBase_BGSSpatialGridSearchUtilitiesInternal::GridSearchPolicyWrapperDirect::_SearchPolicyStandard::::Func3,Starfield.exe,0.4888,86
0x140f34ca0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.5396,73
0x140f7d350,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4506,73
0x1411197f0,CombatMathUtilities::CalculateClosestPoint_1,Fallout4_OG_1_10_163.exe,0.6667,23
0x14128a2f0,"BSTObjectArena<BGSBodyPartDefs::LIMB_ENUM,BSTObjectArenaScrapAlignAlloc<16>,32>::Reserve",Fallout4_OG_1_10_163.exe,0.4226,15
0x1412cc540,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4697,73
0x1412cec10,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4336,73
0x1412e63a0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4620,74
0x1412e7d20,PenetrationRecoveryUtils::hknpBSIgnoreBodyCollisionFilter::Func7,Starfield.exe,0.4261,24
0x14130d6e0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4074,74
0x1413400f0,Actor::ForceMovementControllerToNotHigh,Fallout4_OG_1_10_163.exe,0.6667,2
0x1413d75e0,stl::unique_function_impl::detail::TypeErasedFuncImpl::lambda_0c93912eb3805fc80fa5da712bfcf189::int_CrewInfoconst_CrewInfoconst_::Func3,Starfield.exe,0.5116,22
0x1413db5f0,BSService::Detail::TCmd::lambda_16376a5022f79a83df3926f4fe3cbc2c::void_::Func2,Starfield.exe,0.4446,20
0x1414728c0,RTTI_BSService::TCommandBase_BSService::Detail::TCmd::lambda_5526277130204c648e501eed6bbe34b8::void::,Starfield.exe,0.4734,71
0x141472b80,RTTI_BSService::TCommandBase_BSService::Detail::TCmd::lambda_5526277130204c648e501eed6bbe34b8::void::,Starfield.exe,0.4721,72
0x1414c14d0,StateIntroVideo::Func19,Starfield.exe,0.4211,8
0x1414d3790,BSService::Detail::TCmd::lambda_6df16e899ef1ecc0a3cd559b5e0a5f0e::void_::Func2,Starfield.exe,0.4222,19
0x1414d3c90,BSService::Detail::TCmd::lambda_6df16e899ef1ecc0a3cd559b5e0a5f0e::void_::Func2,Starfield.exe,0.4222,19
0x14153f6f0,BSService::Detail::TCmd::lambda_3495883e95a0abfb4b4bff1fc611f8fd::void_::Func2,Starfield.exe,0.4139,24
0x14158f030,BSService::Detail::TCmd::lambda_6df16e899ef1ecc0a3cd559b5e0a5f0e::void_::Func2,Starfield.exe,0.4176,19
0x1415c22b0,BSService::Detail::TCmd::lambda_c12838fd1359278fffebd2d2c1d3a612::void_::Func2,Starfield.exe,0.5348,301
0x141609090,BSService::Detail::TCmd::lambda_3495883e95a0abfb4b4bff1fc611f8fd::void_::Func2,Starfield.exe,0.4139,24
0x141619b40,stl::unique_function_impl::detail::TypeErasedFuncImpl::lambda_f5d9c6be902abf31e1095fbe7bd905dc::void_StarMap::StarMapMenuDataModel_::Func3,Starfield.exe,0.4170,20
0x141622da0,FID_conflict:_Change_array,SkyrimAE_1_6_1170.exe,0.4056,15
0x141639c00,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4443,73
0x14163c2b0,BSService::Detail::TCmd::lambda_6df16e899ef1ecc0a3cd559b5e0a5f0e::void_::Func2,Starfield.exe,0.4566,21
0x141641cb0,BSService::Detail::TCmd::lambda_8a0c34066621c5f6561302733bb394c0::void_::Func2,Starfield.exe,0.4469,21
0x141641fb0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4807,74
0x141642480,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4838,74
0x1416c91e0,BSService::Detail::TCmd::lambda_40e6f3a5d7629908c83c6f08be99d02f::BSComponentDB2::ID_::Func2,Starfield.exe,0.5315,17
0x1416d0000,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4777,74
0x1416d44b0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4359,73
0x1416d48b0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4506,73
0x1416d4ca0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4215,73
0x1416d50a0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4347,73
0x1416e60a0,BSService::Detail::TCmd::lambda_40e6f3a5d7629908c83c6f08be99d02f::BSComponentDB2::ID_::Func2,Starfield.exe,0.5336,16
0x141727650,stl::unique_function_impl::detail::TypeErasedFuncImpl::lambda_f5d9c6be902abf31e1095fbe7bd905dc::void_StarMap::StarMapMenuDataModel_::Func3,Starfield.exe,0.4423,21
0x14172f410,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4835,73
0x14172f750,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4290,73
0x1417312c0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4491,74
0x1417316e0,BGSPlanetContentManager::QueueContentRequestOnPlanet::25::RequestPlanetContentNode::Func3,Starfield.exe,0.4472,2
0x141764a50,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4210,74
0x1417ac100,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4796,75
0x1417ac560,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4503,74
0x1417b0b20,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4901,74
0x1417d1c20,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4338,74
0x1417db120,RE::Actor::GetRandomAnim,Starfield.exe,0.4002,19
0x1417e8220,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4103,73
0x1417f3040,`anonymous_namespace'::ReceiverData::RecalcTunedFreq,Fallout4_OG_1_10_163.exe,0.5000,3
0x1417f5d00,RE::BGSScene::InitializeDataComponent,Starfield.exe,0.4584,33
0x141806290,"std::_Tree<std::_Tset_traits<std::string,std::less<std::string>,std::allocator<std::string>,0>>::_Erase",Fallout4_OG_1_10_163.exe,0.4003,10
0x14183cf50,BGSSaveLoadManager::GetFullPath,Fallout4_OG_1_10_163.exe,0.4246,15
0x14185c290,BGSNumericIDIndex::SetNumericID,Fallout4 AE.exe,0.5092,14
0x1418e2e60,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4019,73
0x1418ea350,RE::ArrowProjectile::IsGrenadeProjectile,Starfield.exe,0.4663,15
0x141941d30,Actor::AddDetectionListener,Fallout4_OG_1_10_163.exe,0.4573,8
0x141941e50,Actor::GetLineOfSightImplementation,SkyrimAE_1_6_1170.exe,0.4336,13
0x14194c440,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4111,74
0x1419676f0,stl::unique_function_impl::detail::TypeErasedFuncImpl::lambda_e6cebf1fd2b4ac64f7d33432c86d3503::bool_BGSPackIn_::Func3,Starfield.exe,0.4250,34
0x14197d030,Actor::PreDeleteCachedActorValues,Fallout4_OG_1_10_163.exe,0.4348,10
0x141991e40,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4675,74
0x1419921a0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4747,74
0x141992500,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4554,74
0x141992c00,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4838,74
0x1419932c0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4822,74
0x141993620,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4747,74
0x14199a2d0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4669,73
0x1419b81a0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4169,74
0x1419d59d0,PendingHeadTrackQueue::RemovePending,Fallout4_OG_1_10_163.exe,0.4527,18
0x1419f59d0,AIProcess::UpdateHoldFaceTimer,Fallout4_OG_1_10_163.exe,0.4091,9
0x141a0ffe0,AIProcess::UpdateAnimGraphEventTimeout,Fallout4_OG_1_10_163.exe,0.5000,18
0x141a2c300,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4316,74
0x141a45880,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4599,73
0x141a71f00,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.5200,74
0x141a72250,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.5200,74
0x141a725a0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.5200,74
0x141a855e0,LowListIndex::LowListIndex,Fallout4_OG_1_10_163.exe,0.4118,7
0x141a856e0,LowListIndex::Reset,Fallout4_OG_1_10_163.exe,0.5556,10
0x141a8c030,ProcessLists::SetSystemTimeClock,Fallout4_OG_1_10_163.exe,0.5966,11
0x141a92120,ProcessLists::IsEnemyFactionofOtherCrime,Fallout4_OG_1_10_163.exe,0.5385,21
0x141afc9d0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4933,74
0x141b01520,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4220,74
0x141b2a900,PenetrationRecoveryUtils::hknpBSIgnoreBodyCollisionFilter::Func7,Starfield.exe,0.4261,24
0x141b99740,CombatDialogueManager::CheckDialogueTimer_1,Fallout4_OG_1_10_163.exe,0.5473,29
0x141be4860,stl::unique_function_impl::detail::TypeErasedFuncImpl::lambda_e6cebf1fd2b4ac64f7d33432c86d3503::bool_BGSPackIn_::Func3,Starfield.exe,0.4250,34
0x141c2f790,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4984,73
0x141ead410,BGSEntryPoint::HandleEntryPoint,Starfield.exe,0.6000,3
0x142127aa0,RTTI_BSService::Detail::TCmd::lambda_2efe08d644eb7b52a9d5c0743096e8e4::void_,Starfield.exe,0.4226,19
0x1421ac630,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4835,73
0x1421be500,BSService::Detail::TCmd::lambda_719c22938e1933da3a1096ba6d7398c5::void_::Func2,Starfield.exe,0.5433,22
0x1421c1aa0,BSService::Detail::TCmd::lambda_719c22938e1933da3a1096ba6d7398c5::void_::Func2,Starfield.exe,0.5244,22
0x1421d9230,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4493,73
0x1421f7fe0,BSService::Detail::TCmd::lambda_719c22938e1933da3a1096ba6d7398c5::void_::Func2,Starfield.exe,0.4793,21
0x1422b0e30,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4062,66
0x1422b13c0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4479,74
0x1422ca0c0,MemoryManager::Allocate,Starfield.exe,0.4352,47
0x1422caa00,MemoryManager::GetThreadScrapHeap,Starfield.exe,0.5385,7
0x1422ce730,BSTArrayBase::sub,SkyrimAE_1_6_1170.exe,0.5862,17
